,zc
1196,60696
1197,60661
1198,60641
1199,60657
1200,60644
1201,60661
1202,60644
1203,60644
1204,60644
1205,60644
1206,60610
1207,60601
1208,60616
1209,60610
1210,60601
1211,60612
1212,60622
1213,60622
1214,60612
1215,60612
1216,60661
1217,60622
1218,9020
1219,60660
1220,60604
1221,60622
1222,60612
1223,60607
1224,60612
1225,60622
1226,60604
1227,60612
1228,60612
1229,60661
1230,60607
1231,60622
1232,60607
1233,60622
1234,60603
1235,60661
1236,60661
1237,60661
1238,60606
1239,60606
1240,60654
1241,60605
1242,60606
1243,60606
1244,60605
1245,60606
1246,60605
1247,60613
1248,60657
1249,60601
1250,60626
1251,60613
1252,60613
1253,60614
1254,60601
1255,nan
1256,60661
1257,60647
1258,60654
1259,60607
1260,60622
1261,60601
1262,60640
1263,60606
1264,60640
1265,60622
1266,60607
1267,60610
1268,60640
1269,60606
1270,60606
1271,60608
1272,60611
1273,60601
1274,60601
1275,60601
1276,60696
1277,60611
1278,60607
1279,60614
1280,60601
1281,60605
1282,60614
1283,60696
1284,60601
1285,60610
1286,nan
1287,60654
1288,60610
1289,60659
1290,60654
1291,60614
1292,60604
1293,60606
1294,60661
1295,60654
1296,60614
1297,60622
1298,60626
1299,60660
1300,60605
1301,60614
1302,60657
1303,nan
1304,60606
1305,60606
1306,60647
1307,nan
1308,60601
1309,nan
1310,60613
1311,60614
1312,60661
1313,60657
1314,60657
1315,60614
1316,60606
1317,60654
1318,60654
1319,60606
1320,60654
1321,60616
1322,60601
1323,60616
1324,60601
1325,60601
1326,60614
1327,60657
1328,60657
1329,60645
1330,nan
1331,nan
1332,60610
1333,60611
1334,60661
1335,60614
1336,60611
1337,60622
1338,60614
1339,60614
1340,60606
1341,60661
1342,60606
1343,nan
1344,60610
1345,60637
1346,60640
1347,60613
1348,60614
1349,60614
1350,60611
1351,nan
1352,nan
1353,60611
1354,60604
1355,60606
1356,60607
1357,60611
1358,60607
1359,60614
1360,60661
1361,60601
1362,60661
1363,60607
1364,60610
1365,60604
1366,60654
1367,60610
1368,60604
1369,60607
1370,60606
1371,60606
1372,60604
1373,60606
1374,60604
1375,60604
1376,60604
1377,60606
1378,60607
1379,60654
1380,60606
1381,nan
1382,60606
1383,60611
1384,nan
1385,60614
1386,60614
1387,606476
1388,606476
1389,60622
1390,60622
1391,606476
1392,60601
1393,60613
1394,nan
1395,60625
1396,60612
1397,60612
1398,60614
1399,60604
1400,60610
1401,60610
1402,60610
1403,60615
1404,60622
1405,60647
1406,60610
1407,60610
1408,60610
1409,60606
1410,60661
1411,60601
1412,60606
1413,60601
1414,60610
1415,60614
1416,nan
1417,60610
1418,60618
1419,60647
1420,60611
1421,60606
1422,60606
1423,60661
1424,60614
1425,60606
1426,60611
1427,60606
1428,60611
1429,60661
1430,60605
1431,60606
1432,60625
1433,60661
1434,60625
1435,60612
1436,60614
1437,60625
1438,60611
1439,60602
1440,60657
1441,60657
1442,60657
1443,60601
1444,nan
1445,60606
1446,60606
1447,60611
1448,60602
1449,60603
1450,60640
1451,60610
1452,60601
1453,60606
1454,60610
1455,60610
1456,60606
1457,60610
1458,60614
1459,60625
1460,60614
1461,60622
1462,60610
1463,60605
1464,60606
1465,60611
1466,60606
1467,60606
1468,60603
1469,60606
1470,60654
1471,60606
1472,60618
1473,606476
1474,60657
1475,60654
1476,60645
1477,60645
1478,60654
1479,60657
1480,60625
1481,60610
1482,60610
1483,60642
1484,60606
